21757 18878 tcp FIN 0.01888 2958 31354 31 29 7 17 - 1227542.375 13008898.0 48 48 255 255 179030443 179333579 62 653 0 0 24.757711 25.046096 1424260272 1424260272 0.403848 0.396783 0.000763 0.000619 0.000144 0 0   4 2 3 2 1 1 1 0
47439 53 udp INT 5e-06 264 0 60 0 0 0 dns 211200000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424254981 1424254981 0.005 0.0 0.0 0.0 0.0 0 0   29 29 11 11 11 11 29 0
45424 80 tcp FIN 2.198563 1096 354 254 252 2 1 http 3591.436523 1128.009521 10 8 255 255 1847573861 3637229092 110 44 1 0 14929.811 436.079344 1424252823 1424252825 237.033444 305.037719 0.14777 0.063298 0.084472 0 1   2 1 2 1 1 1 1 1
38238 37653 tcp FIN 0.033942 2766 26496 31 29 7 16 - 637322.5 6109245.5 44 46 255 255 2676071887 2676376289 63 576 0 0 57.682046 55.916363 1424256804 1424256804 0.782046 0.741044 0.00074 0.000586 0.000154 0 0   8 2 1 8 1 1 1 0
15524 53 udp CON 0.001087 130 162 31 29 0 0 dns 478380.875 596136.125 2 2 0 0 0 0 65 81 0 0 0.0 0.0 1424253798 1424253798 0.008 0.007 0.0 0.0 0.0 0 0   2 1 4 4 2 1 3 0
40363 39535 tcp FIN 0.019942 2854 31354 31 29 7 17 - 1120048.125 12316116.0 46 48 255 255 2789319857 2789642819 62 653 0 0 25.022074 23.004965 1424260251 1424260251 0.445932 0.411298 0.000727 0.000602 0.000125 0 0   2 2 1 2 1 1 1 0
1043 53 udp INT 5e-06 114 0 254 0 0 0 dns 91200000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424260622 1424260622 0.005 0.0 0.0 0.0 0.0 0 2   30 30 19 17 17 17 30 1
5082 6881 tcp FIN 0.361771 1540 1644 31 29 4 4 - 31931.80273 34342.16797 16 18 255 255 1304661622 1391954557 96 91 0 0 1443.45463 43.689957 1424251107 1424251108 24.0972 21.250234 0.000639 0.000509 0.00013 0 0   12 13 12 9 6 1 6 0
1043 53 udp INT 7e-06 264 0 60 0 0 0 dns 150857136.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424253904 1424253904 0.007 0.0 0.0 0.0 0.0 0 0   27 27 15 15 15 15 27 0
47544 32258 tcp FIN 0.098866 4550 72346 31 29 7 33 - 363481.875 5780915.5 78 80 255 255 637534157 2803655477 58 904 0 0 82.074177 80.610808 1424261038 1424261038 1.28 1.244709 0.000656 0.000531 0.000125 0 0   10 7 5 5 1 1 4 0
47439 53 udp INT 3e-06 114 0 254 0 0 0 dns 152000000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424252429 1424252429 0.003 0.0 0.0 0.0 0.0 0 2   34 34 18 18 18 18 34 1
47439 53 udp INT 7e-06 264 0 60 0 0 0 dns 150857136.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424253119 1424253119 0.007 0.0 0.0 0.0 0.0 0 0   16 16 11 11 11 11 16 0
1043 53 udp INT 1e-06 264 0 60 0 0 0 dns 1056000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424261112 1424261112 0.001 0.0 0.0 0.0 0.0 0 0   37 37 18 18 18 18 37 0
4311 53 udp CON 0.001569 130 162 31 29 0 0 dns 331421.2813 413001.9375 2 2 0 0 0 0 65 81 0 0 0.0 0.0 1424259824 1424259824 0.006 0.002 0.0 0.0 0.0 0 0   3 1 4 7 3 1 2 0
51092 860 tcp CON 0.297527 1012 86 62 252 2 1 - 22693.74023 1156.197632 6 2 255 255 950884662 1480455713 169 43 0 0 3333.090402 0.0 1424253061 1424253061 59.5054 0.002 0.223955 0.157565 0.06639 0 3   5 5 3 4 3 1 4 0
12943 53 udp CON 0.001112 130 162 31 29 0 0 dns 467625.9063 582733.8125 2 2 0 0 0 0 65 81 0 0 0.0 0.0 1424258795 1424258795 0.008 0.007 0.0 0.0 0.0 0 0   4 2 2 4 1 1 2 0
47439 53 udp INT 3e-06 114 0 254 0 0 0 dns 152000000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424260858 1424260858 0.003 0.0 0.0 0.0 0.0 0 2   33 33 35 33 33 16 33 1
32763 53 udp CON 0.000988 146 178 31 29 0 0 dns 591093.125 720647.8125 2 2 0 0 0 0 73 89 0 0 0.0 0.0 1424250094 1424250094 0.009 0.004 0.0 0.0 0.0 0 0   2 2 2 1 1 1 2 0
1043 53 udp INT 8e-06 264 0 60 0 0 0 dns 132000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424253933 1424253933 0.008 0.0 0.0 0.0 0.0 0 0   9 9 9 9 9 9 9 0
47755 46763 tcp FIN 0.011547 2542 23354 31 29 7 14 - 1717502.375 15794925.0 40 42 255 255 3682728565 3683034915 64 556 0 0 17.247463 15.653506 1424253885 1424253885 0.288256 0.266098 0.000788 0.000628 0.00016 0 0   3 2 2 3 1 1 1 0
62139 22236 tcp FIN 0.02878 3390 44906 31 29 7 22 - 925642.8125 12267408.0 56 58 255 255 3830306945 3839673200 61 774 0 0 34.111468 33.568539 1424261563 1424261563 0.5172 0.505589 0.000585 0.000464 0.000121 0 0   10 7 4 3 1 1 3 0
46721 47876 tcp FIN 0.021567 2646 25470 31 29 7 15 - 958130.5 9233366.0 42 44 255 255 2440658298 2440933431 63 579 0 0 35.051153 33.196227 1424256889 1424256889 0.545 0.49981 0.000708 0.000568 0.00014 0 0   3 11 1 1 1 1 1 0
47439 53 udp INT 3e-06 264 0 60 0 0 0 dns 352000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424260426 1424260426 0.003 0.0 0.0 0.0 0.0 0 0   33 33 33 33 33 17 33 0
8557 111 udp CON 0.009308 568 312 31 29 0 0 - 366136.6563 201117.3125 4 4 0 0 0 0 142 78 0 0 1.571193 3.711604 1424256818 1424256818 1.117 2.627 0.0 0.0 0.0 0 0   11 6 1 2 1 1 2 0
54339 179 tcp FIN 0.945338 2566 354 254 252 2 1 - 19548.5625 2623.400391 10 8 255 255 2019628701 2915125751 257 44 0 0 5415.986687 239.750188 1424256956 1424256957 101.839444 120.58157 0.253625 0.101264 0.152361 0 1   6 3 1 2 1 1 2 1
47439 53 udp INT 3e-06 114 0 254 0 0 0 dns 152000000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424251753 1424251753 0.003 0.0 0.0 0.0 0.0 0 2   28 28 12 12 12 12 28 1
47439 53 udp INT 3e-06 114 0 254 0 0 0 dns 152000000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424252977 1424252977 0.003 0.0 0.0 0.0 0.0 0 2   7 7 8 7 7 6 7 1
1043 53 udp INT 3e-06 114 0 254 0 0 0 dns 152000000.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424251636 1424251636 0.003 0.0 0.0 0.0 0.0 0 2   31 31 14 13 13 13 31 1
19635 6881 tcp FIN 0.637838 1540 1644 31 29 4 4 - 18111.18164 19478.30078 16 18 255 255 561628880 681310659 96 91 0 0 2588.254474 70.084031 1424254274 1424254274 42.500734 37.485469 0.000702 0.000577 0.000125 0 0   4 5 5 3 2 1 3 0
19827 36891 udp CON 0.001722 528 304 31 29 0 0 - 1839721.25 1059233.5 4 4 0 0 0 0 132 76 0 0 0.62414 0.302879 1424256488 1424256488 0.445333 0.219667 0.0 0.0 0.0 0 0   12 10 5 5 1 1 6 0
47439 53 udp INT 2e-06 264 0 60 0 0 0 dns 528000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424258833 1424258833 0.002 0.0 0.0 0.0 0.0 0 0   26 26 8 8 8 8 26 0
61639 25 tcp FIN 0.446783 37360 3380 31 29 18 8 smtp 656103.75 59089.08594 52 42 255 255 2252461717 108107622 718 80 0 0 767.007275 25.048125 1424260937 1424260938 8.92852 10.883756 0.000686 0.000546 0.00014 0 0   1 1 6 2 1 1 2 0
32138 22 tcp FIN 0.024736 12752 13306 31 29 35 33 ssh 4092173.25 4269405.0 128 126 255 255 261255436 2411172604 100 106 0 0 12.56771 12.439136 1424260759 1424260759 0.197888 0.1965 0.000748 0.000637 0.000111 0 0   2 1 3 7 2 1 1 0
30692 56120 tcp FIN 0.015968 2766 28558 31 29 7 16 - 1354709.375 13996994.0 44 46 255 255 1208511063 1208738661 63 621 0 0 0.0 18.759945 1424261254 1424261254 0.364209 0.344133 0.000618 0.000479 0.000139 0 0   2 1 1 2 1 1 2 0
47439 53 udp INT 9e-06 114 0 254 0 0 0 dns 50666664.0 0.0 2 0 0 0 0 0 57 0 0 0 0.0 0.0 1424255178 1424255178 0.009 0.0 0.0 0.0 0.0 0 2   27 27 12 11 11 11 27 1
1043 53 udp INT 3e-06 264 0 60 0 0 0 dns 352000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424253651 1424253651 0.003 0.0 0.0 0.0 0.0 0 0   42 42 42 42 42 23 42 0
40038 53 udp CON 0.001036 130 162 31 29 0 0 dns 501930.5 625482.625 2 2 0 0 0 0 65 81 0 0 0.0 0.0 1424250203 1424250203 0.009 0.006 0.0 0.0 0.0 0 0   3 2 1 1 1 1 4 0
55985 6881 tcp FIN 3.543563 25056 1094788 31 29 38 390 - 56440.37109 2468731.25 446 858 255 255 2904121651 762188984 56 1276 0 0 3857.706395 2776.07232 1424257470 1424257474 7.9803 4.134296 0.000584 0.000466 0.000118 0 0   6 12 11 9 3 1 8 0
28550 80 tcp FIN 1.154651 18786 1087890 31 29 2 370 http 129791.5938 7527344.5 352 746 255 255 1922918758 4069326352 53 1458 1 524288 186.490501 112.383348 1424258388 1424258389 3.288695 1.549133 0.000657 0.000543 0.000114 0 0   1 2 2 3 1 1 3 0
34028 6881 tcp FIN 0.515602 11480 470062 31 29 18 169 - 177237.4844 7274014.0 198 376 255 255 2600153950 454009253 58 1250 0 0 134.054958 81.915716 1424250759 1424250759 2.61568 1.373509 0.000698 0.000533 0.000165 0 0   9 6 7 8 6 1 6 0
32848 55015 udp CON 0.001733 528 304 31 29 0 0 - 1828043.75 1052510.125 4 4 0 0 0 0 132 76 0 0 0.638753 0.299823 1424257705 1424257705 0.455667 0.216 0.0 0.0 0.0 0 0   10 12 7 10 1 1 8 0
1043 53 udp INT 7e-06 264 0 60 0 0 0 dns 150857136.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424260341 1424260341 0.007 0.0 0.0 0.0 0.0 0 0   21 21 18 18 18 18 21 0
63155 35381 tcp FIN 0.038949 4862 80366 31 29 7 36 - 986931.5625 16315078.0 84 86 255 255 2146743612 2147058066 58 934 0 0 23.923363 23.487054 1424259774 1424259774 0.46547 0.451412 0.000712 0.00057 0.000142 0 0   5 1 3 6 1 1 2 0
47439 53 udp INT 4e-06 264 0 60 0 0 0 dns 264000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424255076 1424255076 0.004 0.0 0.0 0.0 0.0 0 0   21 21 19 19 19 19 21 0
2844 80 tcp FIN 1.389171 1580 10168 31 29 3 5 http 8344.544922 55307.80469 12 18 255 255 2184021156 35475440 132 565 1 3924 12139.86788 10074.22161 1424252698 1424252699 126.254909 86.791813 0.000625 0.000498 0.000127 0 0   3 3 3 2 2 1 3 0
47439 53 udp INT 3e-06 264 0 60 0 0 0 dns 352000000.0 0.0 2 0 0 0 0 0 132 0 0 0 0.0 0.0 1424252693 1424252693 0.003 0.0 0.0 0.0 0.0 0 0   24 24 12 12 12 12 24 0
25188 22 tcp FIN 0.010069 5928 8010 31 29 14 17 ssh 4634422.5 6254444.5 62 58 255 255 2057063609 4202773230 96 138 0 0 10.838772 10.868293 1424257655 1424257655 0.170661 0.173037 0.000727 0.000603 0.000124 0 0   3 3 5 3 1 1 2 0
37612 14085 tcp FIN 0.079904 3182 38766 31 29 7 20 - 312474.9688 3809471.5 52 54 255 255 3144923393 3226205919 61 718 0 0 88.170646 85.147492 1424250710 1424250710 1.5919 1.498642 0.0006 0.000474 0.000126 0 0   4 5 2 2 1 1 1 0
35412 80 tcp FIN 1.004821 1580 10168 31 29 3 5 http 11536.38379 76463.375 12 18 255 255 2688200666 539683698 132 565 1 0 9527.872348 7674.743471 1424253615 1424253616 91.310094 59.074119 0.000694 0.000557 0.000137 0 0   1 1 1 3 1 1 1 0
1593 111 udp CON 0.00506 568 312 31 29 0 0 - 673517.8125 369960.4688 4 4 0 0 0 0 142 78 0 0 1.864405 1.664529 1424253247 1424253247 1.324333 1.184 0.0 0.0 0.0 0 0   5 5 5 3 1 1 3 0
39833 6881 tcp FIN 0.01993 1540 1644 31 29 4 4 - 579628.6875 623381.875 16 18 255 255 3922076261 1780772421 96 91 0 0 76.204281 2.257395 1424261949 1424261949 1.289867 1.145823 0.000565 0.000448 0.000117 0 0   6 8 9 8 6 1 7 0
6337 21 tcp FIN 2.148459 1174 1614 62 252 7 9 ftp 4174.154785 5738.066406 22 22 255 255 3970207682 2860850090 53 73 0 0 5207.617928 5349.837151 1424253667 1424253669 102.264189 99.362854 0.125854 0.061834 0.06402 0 1 1 1 1 2 3 1 1 2 1
54965 25 tcp FIN 0.021596 37454 3380 31 29 18 8 smtp 13607705.0 1222448.625 52 42 255 255 2614486155 470171197 720 80 0 0 23.048969 0.841292 1424260286 1424260286 0.42514 0.513829 0.000662 0.000523 0.000139 0 0   1 1 2 9 1 1 1 0
