1,3,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,30,31,32,33,34,35,36,39,40,41,42,43,44,45,46,label
47439,53,8.00E-06,264,0,60,0,0,0,132000000,0,2,0,0,0,0,0,132,0,0,0,0,0,0.008,0,0,0,0,0,0, ,30,30,30,30,30,10,30,0
0,0,3.00E-06,200,0,254,0,0,0,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,0.003,0,0,0,0,0,2, ,5,5,2,3,2,2,5,1
11014,22,3.140939,36744,76852,31,29,77,177,93368.25781,195353.0469,426,502,255,255,1454644845,1454956473,86,153,0,0,735.748576,677.060949,7.424643,6.318597,0.000709,0.000587,0.000122,0,0, ,1,1,3,2,1,1,2,0
53511,5190,0.003947,1036,2262,31,29,4,4,1925513,4203699,12,12,255,255,540143871,2685807719,86,189,0,0,16.722308,0.375597,0.327455,0.312,0.000635,0.000514,0.000121,0,0, ,11,8,7,3,1,1,1,0
6828,56334,0.223339,424,8824,31,29,1,4,13289.21484,289747.875,8,12,255,255,3326186853,3423991543,53,735,0,0,2152.077846,1709.627587,31.861573,20.257817,0.000627,0.000499,0.000128,0,0, ,3,3,5,5,1,1,4,0
1043,53,4.00E-06,114,0,254,0,0,0,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,0.004,0,0,0,0,0,2, ,16,16,15,16,15,15,16,1
25939,53,0.000953,130,162,31,29,0,0,545645.3125,679958.0625,2,2,0,0,0,0,65,81,0,0,0,0,0.005,0.023,0,0,0,0,0, ,1,2,3,2,1,1,1,0
1043,53,1.00E-06,264,0,60,0,0,0,1056000000,0,2,0,0,0,0,0,132,0,0,0,0,0,0.001,0,0,0,0,0,0, ,21,21,21,21,21,21,21,0
26835,53,0.000991,132,164,31,29,0,0,532795.1875,661957.625,2,2,0,0,0,0,66,82,0,0,0,0,0.008,0.007,0,0,0,0,0, ,3,3,2,10,1,1,2,0
32862,80,1.025116,1684,10168,31,29,3,5,12205.44824,74949.57031,14,18,255,255,2666264982,2665072882,120,565,1,3924,8770.049437,7683.411485,78.613998,60.113706,0.003301,0.003174,0.000127,0,0, ,1,1,4,6,1,1,2,0
60744,5190,0.005544,2262,1814,31,29,6,5,3138528.25,2473304.5,26,18,255,255,3531361308,1382159787,87,101,0,0,13.583062,17.881524,0.22176,0.300312,0.000713,0.000567,0.000146,0,0, ,4,1,1,9,1,1,1,0
64263,37676,0.037655,4862,78752,31,29,7,36,1020847.188,16536874,84,86,255,255,4033233110,4041865622,58,916,0,0,0,23.00411,0.449602,0.436988,0.000637,0.000508,0.000129,0,0, ,6,2,4,3,1,1,1,0
0,0,9.00E-06,60,0,0,0,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,2, ,4,4,3,3,3,3,4,1
0,0,5.00E-06,200,0,254,0,0,0,160000000,0,2,0,0,0,0,0,100,0,0,0,0,0,0.005,0,0,0,0,0,2, ,5,5,2,2,2,2,5,1
47065,34316,0.222754,8928,320,31,29,4,1,297763.4375,9589.053711,14,6,255,255,1144489627,3504596346,638,53,0,0,1543.255861,65.828555,17.134924,44.403801,0.000765,0.000609,0.000156,0,0, ,3,3,5,6,1,1,4,0
60987,22,0.400042,9504,12298,31,29,26,31,188300.2344,243794.4063,108,114,255,255,1866487708,1866781310,88,108,0,0,295.223301,286.458272,3.771056,3.566527,0.000707,0.000582,0.000125,0,0, ,1,1,1,2,1,1,1,0
